Resource Parent,Source,Resource Parent URL,Resource,Resource Location,Address,Address Suite,City State Zip,ADA Accessible,Telephone,URL,Email,Intake Hours of Operation  ,Specific Hours  ,,Intake Procedure,Documents Required,Intake Notes,CoviD-19 Update,Description,Eligibility,Area Served,Types of Fees,Language,Insurance Type Accepted,Capacity Limitations,Wait List,Helpful Tips,Service Rules and Guidelines,Target Populations (Categories),Areas of Focus (Categories)
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),Bethlehem Food Pantry,772 S JOHNSON AVE,,"EL CAJON, CA 92020",,(619) 442-9491,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"8:00 am-10:00 am, Saturday after 3rd Tuesday of the Month",,Intake Procedure,Walk-in for services,No Documents Required,"First come, first served.",,"The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.","Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",92020,No fees,,Not Applicable,Not applicable,Not applicable,Entrance is through the gate on Grant Avenue,Areas of Focus,Low Income,Ongoing Emergency Food Assistance
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,Summit Church,292 E BARHAM DR,,"SAN MARCOS, CA 92078",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"10:30 am-12:00 pm, 2nd & 4th Saturday; 11:00 am-2:00 pm, Tuesday; 3:00 pm-6:00 pm, Thursday; 10:00 am-1:00 pm, Sunday",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Location is in the rear parking lot,Areas of Focus,COVID-19,Ongoing Emergency Food Assistance
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),Food Pantry at Chollas View Church,904 47TH ST,,"SAN DIEGO, CA 92102",,(866) 350-3663,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"Normal hours: 12:00 pm-2:00 pm, 3rd Friday of the Month",,Intake Procedure,Walk-in for services,No Documents Required,,"COVID-19 Update: COVID-19 second distribution will be on 10:00 am-12:00 pm, Saturday, June 6, 2020 The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",,"Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",92102,No fees,,Not Applicable,Not applicable,Not applicable,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),Calvary Evangelical Lutheran Church,3060 54TH ST,,"SAN DIEGO, CA 92105",,(866) 350-3663,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"11:00 am-2:00 pm, Monday and Wednesday","Dates closed in year 2020: 1/20, 2/17, 3/31, 4/10, 5/25, 7/3, 8/7, 9/7, 10/12, 11/11, 11/25, 11/26, 11/27, 12/24, 12/25, 12/31",Intake Procedure,Walk-in for services,No Documents Required,,"COVID-19 Update: Hours will be 11:00 am-2:00 pm, Monday and Wednesday through the end of April 2020. The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",,"Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",92105,No fees,,Not Applicable,Not applicable,Not applicable,Areas of Focus,Ongoing Emergency Food Assistance,Low Income,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),Apostolic Assembly First Church,611 S 35TH ST,,"SAN DIEGO, CA 92113",,(866) 350-3663,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"10:00 am-12:00 pm, Thursday before the 1st Friday of the Month","July distribution rescheduled to Wednesday, July 1, 2020",Intake Procedure,Walk-in for services,No Documents Required,"The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",,,"Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",92113,No fees,,Not Applicable,Not applicable,Not applicable,Areas of Focus,Ongoing Emergency Food Assistance,Low Income,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,Murphy's Produce with Purpose Project 1:1,1031 NATIONAL CITY BLVD,,"NATIONAL CITY, CA 91950",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"12:00 pm-3:00 pm, Friday",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,San Diego Christian Center,1305 DEODAR RD,,"ESCONDIDO, CA 92026",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"12:00 pm-2:30 pm, Monday, Wednesday, Friday; 11:00 am-12:30 pm, Sunday",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,Ministerio Tiempo Nuevo at Bethel Assembly of God,1929 ARNOLD WAY,,"ALPINE, CA 91901",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"10:00 am-12:00 pm, Thursday",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,North Park Apostolic Church,2515 LEMON GROVE AVE,,"LEMON GROVE, CA 91945",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"12:00 pm-3:00 pm, Tuesday, Wednesday and Thursday",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,Uptown Community Service & St Luke's Episcopal Church,3725 30TH ST,,"SAN DIEGO, CA 92104",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"Drive Thru: 4:00 pm-7:00 pm, Monday and Wednesday at corner of Landis and 30th Street; Walk up distribution: 11:00 am-1:45 pm, Thursday at St Luke's Episcopal Church",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,Ministerio Tiempo Nuevo,8179 BROADWAY,,"LEMON GROVE, CA 91945",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"8:00 am-11:45 am, Monday-Friday",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,Santee Food Bank,9715 HALBERNS BLVD,,"SANTEE, CA 92071",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"8:00 am-11:00 am every Wednesday, Friday and Saturday; 8:00 am - 11:00 am on the 1st and 3rd Tuesday of each month",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,Buckheart Ranch,16881 OLD SURVEY RD,,"ESCONDIDO, CA 92025",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"9:00 am-12:00 pm, Wednesday and Thursday; 4:00 pm-7:00 pm, Friday",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week. Diapers are distributed on Monday and Wednesday",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,USO San Diego,2790 TRUXTUN RD STE 110,Suite 110,"SAN DIEGO, CA 92106",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"Walk up distribution: 10:00 am-1:00 pm, Tuesday, Wednesday, Thursday; Drive thru hours: 1 st and 3rd Friday of each month, view USO's Facebook page for rotating location",,Intake Procedure,Walk-in for services,No Documents Required,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week. This site is for military families only.",,,Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,COVID-19,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),The Movement Church,1609 CAPALINA RD,,"SAN MARCOS, CA 92069",,(866) 350-3663,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"2:00 pm-3:30 pm, Monday before the 3rd Tuesday of the Month",Rescheduled: 1/27/2020 and 2/24/2020,Intake Procedure,Walk-in for services,No Documents Required,"Agency issues numbers at 2:00 pm until gone, can leave the line.",,"The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.","Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",North San Diego County,No fees,,Not Applicable,Not applicable,Not applicable,Areas of Focus,Ongoing Emergency Food Assistance,Low Income,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,North County Food Bank,1445 ENGINEER ST STE 110,Suite 110,"VISTA, CA 92081",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"9:00 am-5:00 pm, Monday-Friday; Closed on the following holidays: Columbus Day, Veterans Day, Thanksgiving Day, Day after Thanksgiving, Christmas Eve, Christmas Day, New Year’s Eve and New Year’s Day",,Intake Procedure,Walk-in for services,No Documents Required,"If carpooling, must show proof of different address. Distribution at the nearest intersection is Sycamore and S Melrose.",,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week. This site can also provide diapers.",Not limited,San Diego County,No fees,,Not Applicable,None,None,Areas of Focus,Ongoing Emergency Food Assistance,,
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Neighborhood Distribution Program,Fallbrook Spanish Seventh Day Church,439 IOWA ST,,"FALLBROOK, CA 92028",,,https://sandiegofoodbank.org/programs/neighborhood-distribution-program/,,"6:00 pm until food is gone, 1st Wednesday of the Month","Rescheduled date: January 8, 2020",Intake Procedure,Walk-in for services,No Documents Required,"Provides fresh fruits, vegetables and bread as well as a few other items at various distribution sites throughout the county. Distributions are open to everyone. No documentation or ID is required to receive food assistance. There are no income or asset restrictions for this program.",,,Not limited,North San Diego County,No fees,,Not Applicable,None,None,Families are encouraged to bring reusable bags or a cart to carry the food items.,Areas of Focus,,Ongoing Emergency Food Assistance
